news_id,title,publish_date,source_name,source_url,source_credibility,region,country,sector,topic_tags,digest_section,summary,business_implication,recommended_audience,importance_score,relevance_score,actionability_score,total_score,human_status,reviewer,review_notes
20260613-001,港擴大基金家辦稅惠 力吸專才,2026-06-13,信報,https://www.hkej.com/dailynews/headline/article/4430669,A,全港/宏觀,香港,金融與經濟,"基金;家辦;稅務優惠;資產管理;專才",金融與經濟,政府刊憲基金稅務條例修訂，擴闊合資格基金類別並豁免表現費利得稅。,強化香港資管中心地位，利吸引基金及人才留港。,決策層領導,4,4,3,55,已推送,,定稿納入
20260613-002,駐港基金經理 變相即時加薪,2026-06-13,信報,https://www.hkej.com/dailynews/headline/article/4430670,A,全港/宏觀,香港,金融與經濟,"基金;稅務;表現費;人才",金融與經濟,基金稅優追溯至2025年4月，駐港基金經理去年表現費有望獲稅務豁免。,金融人才成本下降，提升在港展業吸引力。,決策層領導,3,4,3,50,已推送,,定稿納入
20260613-003,內地5月新增貸款5200億 遜市場預期,2026-06-13,香港經濟日報,https://paper.hket.com/article/4146092,A,全港/宏觀,中國,金融與經濟,"信貸;人民幣;宏觀;內地",金融與經濟,5月人民幣新增貸款5200億元，低於市場預期5500億。,內地信貸需求偏弱，影響大灣區投資氣氛。,部門同事,4,3,2,45,已推送,,定稿納入
20260613-004,李家超：五年規劃「跨屆」 不受任期束縛,2026-06-13,香港經濟日報,https://paper.hket.com/article/4146094,A,全港/宏觀,香港,政策與監管,"五年規劃;施政;政策",金融與經濟,首份五年規劃料第三季尾出台，李家超稱施政跨屆、改革不停步。,中長期政策框架影響各板塊投資預期。,決策層領導,4,4,2,50,已推送,,定稿納入
20260615-005,入標後政府要求減價 業界嘆不公,2026-06-15,明報,https://news.mingpao.com/pns/要聞/article/20260615/s00001/1781461133798/,A,全港/宏觀,香港,房建,"公營工程;招標;議價;建造業;北都工程",北都專題,明報報道政府招標後要求入標者減價增多，業界反感，財庫局否認與財赤有關。,或影響承建商投標定價及工程利潤，北都工程需關注。,項目負責人,5,5,4,70,已推送,,必含+月報標記
20260609-006,都大何文田新校舍動土 定位社區健康樞紐,2026-06-09,明報,https://news.mingpao.com/ins/港聞/article/20260609/s00001/1780997738223/,A,北都,香港,北都產業規劃,"都大;北都大學城;洪水橋;進駐北都",北都專題,政府正發展北都大學城，都大研究進駐洪水橋及北都創科定位。,北都大學城及高校進駐節點，值得項目條線跟蹤。,項目負責人,4,5,3,60,已推送,,必含
20260530-007,港澳遊艇獲准大灣區九市自由行,2026-05-30,香港政府新聞網,https://www.news.gov.hk/chi/2026/05/20260530/20260530_185826_734.html,B,全港/宏觀,香港,政策與監管,"遊艇;大灣區;自由行;國務院",金融與經濟,國務院同意港澳遊艇在大灣區九市免擔保自由行及臨時船籍登記。,跨境經貿制度安排，影響大灣區遊艇及口岸政策環境。,拓展負責人,4,4,3,55,已推送,,必含-用戶指定來源
20260613-008,前海五試點用港NEC及安全智慧工地,2026-06-13,大公報,https://epaper.tkww.hk/a/202606/13/AP6a2c6c15e4b04773b0702164.html,B,新田/河套,中國,房建,"NEC;智慧工地;前海;大灣區;規則銜接",建築與地產,前海五項目試行香港NEC合約或安全智慧工地系統。,港建造管理模式輸出機會，利工程顧問及科技供應商。,拓展負責人,5,5,4,70,已推送,,用戶新增+月報標記
20260613-009,周末新盤94伙應市 首岸4期掛帥,2026-06-13,香港經濟日報,https://paper.hket.com/article/4146140,A,全港/宏觀,香港,房建,"新盤;首岸;一手樓",建築與地產,周末僅94伙一手應市，首岸4期佔95%。,短期一手供應偏淡，個別新盤主導市場。,部門同事,3,3,2,40,已推送,,定稿納入
20260612-010,后海灣沿岸三處擬建海岸保護公園,2026-06-12,香港經濟日報,https://news.hket.com/article/4145990,A,北都,香港,政策與監管,"海岸公園;流浮山;公眾參與;濕地",北都專題,政府就尖鼻咀、流浮山及白泥海岸保護公園展開公眾參與至7月31日。,北都發展與生態保育並行，影響流浮山一帶規劃。,項目負責人,4,5,3,60,已推送,,必含-用戶指定
20260610-011,流浮山數碼科技樞紐 樓面擴至969萬呎,2026-06-10,香港經濟日報,https://paper.hket.com/article/4144096,A,北都,香港,北都產業規劃,"流浮山;數碼科技樞紐;產業用地",北都專題,數碼科技樞紐擴至30公頃、969萬呎，住宅近4.9萬伙。,北都創科及住宅供應規模重大節點。,決策層領導,5,5,3,65,已推送,,必含+月報標記
20260615-012,東九綠色集運下月招標 象徵式地價批3住宅地,2026-06-15,信報,https://www.hkej.com/instantnews/current/article/4430275/,A,九龍東/九龍城,香港,交通,"東九龍;綠色運輸;招標;住宅地",建築與地產,行會批准東九綠色集運財務安排，7月招標，象徵式地價批三幅住宅地。,九龍東交通基建及住宅地供應，影響區內發展節奏。,項目負責人,5,5,4,70,已推送,,必含+月報標記
